player,stat,Test,ODI,T20,IPL,,,,,,,,,,,,,,,,,,
Nahid Rana,Fours,3,1,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,Sixes,0,0,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,Ducks,6,0,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,50s,0,0,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,100s,0,0,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,200s,0,0,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,300s,0,0,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,400s,0,0,0,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Matches,0,0,31,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Innings,0,0,10,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Runs,0,0,31,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Balls,0,0,46,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Highest,0,0,10,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Average,0,0,7.75,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,SR,0,0,67.4,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Not Out,0,0,6,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Fours,0,0,1,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Sixes,0,0,0,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,Ducks,0,0,1,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,50s,0,0,0,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,100s,0,0,0,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,200s,0,0,0,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,300s,0,0,0,0,,,,,,,,,,,,,,,,,,
Boemo Khumalo,400s,0,0,0,0,,,,,,,,,,,,,,,,,,
Imran Khan,Matches,0,0,58,0,,,,,,,,,,,,,,,,,,
Imran Khan,Innings,0,0,14,0,,,,,,,,,,,,,,,,,,
Imran Khan,Runs,0,0,15,0,,,,,,,,,,,,,,,,,,
Imran Khan,Balls,0,0,28,0,,,,,,,,,,,,,,,,,,
Imran Khan,Highest,0,0,3,0,,,,,,,,,,,,,,,,,,
Imran Khan,Average,0,0,1.67,0,,,,,,,,,,,,,,,,,,
Imran Khan,SR,0,0,53.58,0,,,,,,,,,,,,,,,,,,
Imran Khan,Not Out,0,0,5,0,,,,,,,,,,,,,,,,,,
Imran Khan,Fours,0,0,0,0,,,,,,,,,,,,,,,,,,
Imran Khan,Sixes,0,0,0,0,,,,,,,,,,,,,,,,,,
Imran Khan,Ducks,0,0,4,0,,,,,,,,,,,,,,,,,,
